series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000076233,Direxion Daily AAPL Bull 2X ETF,Direxion Daily AAPL Bull 2X Shares | Direxion Daily AAPL Bull 1.5X Shares | Direxion Daily AAPL Bull 2X ETF,Direxion Shares ETF Trust,1424958,AAPU,AAPU,2022,2026,2.0,number,daily,AAPL,ticker token,single_stock,True,True,1033.0,1.8098544298696506,0.9816237398786248,0.004248940080650941,1.4735071011513579,1.9887411597537508,1.4701650365801022,2.0184800319944918,AAPU,2022-08-09,2026-09-23,57062124.003219604,ok+beta_varies
S000076355,GraniteShares 2x Long AAPL Daily ETF,GraniteShares 2x Long Apple Daily ETF | GraniteShares 1.75x Long AAPL Daily ETF | GraniteShares 2x Long AAPL Daily ETF,GraniteShares ETF Trust,1689873,AAPB,AAPB,2022,2026,2.0,number,daily,AAPL,ticker token,single_stock,True,True,1032.0,1.9061514504078674,0.9916692118133237,0.0029823421858116606,1.7269399420381912,2.0228825519806604,1.6787982311747789,2.0690243867802844,AAPB,2022-08-10,2026-09-23,1889935.447692871,ok
S000083676,T-REX 2X LONG APPLE DAILY TARGET ETF,T-REX 2X LONG APPLE DAILY TARGET ETF,ETF Opportunities Trust,1771146,AAPX,AAPX,2024,2026,2.0,number,daily,AAPL,company name,single_stock,True,True,675.0,1.9878780659108441,0.9942290982087094,0.002602806951910339,1.9482827641300828,1.9844517172296465,1.9412101831130422,2.0400312802248317,AAPX,2024-01-11,2026-09-23,1702227.9062271118,ok
S000102150,Defiance Daily Target 2X Long ABTC ETF,Defiance Daily Target 2X Long ABTC ETF,Tidal Trust II,1924868,ABTL,ABTL,2026,2026,2.0,number,daily,ABTC,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000091891,Tradr 2X Long ACHR Daily ETF,Tradr 2X Long ACHR Daily ETF,Investment Managers Series Trust II,1587982,ARCX,ARCX,2025,2026,2.0,number,daily,ACHR,ticker token,single_stock,True,True,322.0,1.987358221541581,0.9928747609246654,0.007727943685446022,1.9979934909618984,2.0082941121543394,1.9276303514112338,2.0169056520206756,ARCX,2025-06-10,2026-09-23,300257.0022583008,ok
S000093872,T-REX 2X LONG ACHR DAILY TARGET ETF,T-REX 2X LONG ACHR DAILY TARGET ETF,ETF Opportunities Trust,1771146,ACHU,ACHU,2025,2026,2.0,number,daily,ACHR,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000088296,GraniteShares 2x Short ADBE Daily ETF,GraniteShares 2x Short ADBE Daily ETF,GraniteShares ETF Trust,1689873,ADS,ADS,2025,2026,-2.0,number,daily,ADBE,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000088313,GraniteShares 2x Long ADBE Daily ETF,GraniteShares 2x Long ADBE Daily ETF,GraniteShares ETF Trust,1689873,ADL,ADL,2025,2026,2.0,number,daily,ADBE,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000091233,Leverage Shares 2X Long ADBE Daily ETF,Leverage Shares 2X Long ADBE Daily ETF,Themes ETF Trust,1976322,ADBG,ADBG,2025,2026,2.0,number,daily,ADBE,ticker token,single_stock,True,True,377.0,1.9965683713129159,0.9954450001677029,0.0031182721278638554,1.9967615934737357,2.004207896361313,1.963667421051588,2.0290556609216073,ADBG,2025-03-21,2026-09-23,16534183.695173264,ok
S000094236,Direxion Daily ADBE Bull 2X ETF,Direxion Daily ADBE Bull 2X ETF,Direxion Shares ETF Trust,1424958,ADBU,ADBU,2025,2026,2.0,number,daily,ADBE,ticker token,single_stock,True,True,123.0,2.011097233411915,0.9972739512787607,0.003111873056426963,2.021473002463265,2.0015580000575777,1.9999918379115864,2.0257379232788337,ADBU,2026-03-25,2026-09-23,638350.4984855652,ok
